PLAYER,TEAM,CONFERENCE,POSITION,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
xanbenyama,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanya_XDYT,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
IReekEarth,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
imfromafrica22,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
smileyfacemel,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Infernalkings,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
fakeperkks,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PasitoTPS,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
@Beez_RIOnlmelKneez,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Thegodatsnipping,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay_isai74,Toronto Terror (Group B),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Tgfreds2123,Washington Volt (Group B),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmlthagod,Atlanta Breeze (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ypu_dj,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Khvaos,Charlotte Empire (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Suiatz,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
FNTMirrz,Baltimore Nighthawks (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
godsy123456,Chicago Aces (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
KingExtremeMan,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Superrobloxcarre,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SwornCosmo,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
theyluv_azr,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
xKamstar,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
21savagboy21,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
DHJPflexr,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
findreiigion,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lcy6o6,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
littlebirdyflew,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
21dift,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Holywqlkoffmade,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
flextribe,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
confettiho,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
luvheytea,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
nopxst,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
oddlikefuture,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
superdantdm0611,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
FrostedTinxz,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario_DAT,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
luhvonskiiii,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
6vett,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
PremiumMyke,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
alvaruinn,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
ziarem2,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Spilledthesoss,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
bigmancool55,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
swe_joey454,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripknot,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
YaboiTrey_1,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
NikeBandz_Playz,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
duburnn,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
1gymma,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
plus_RATI0,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
6sqzz,Orlando Supernovas (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
SwishZennin2,Philadelphia Glory (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
lilrock12341,Houston Hornets (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
Trillsavage213,Las Vegas Thrill (Group C),Western,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
kazout_3,Miami Beach Kings (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
DAHREALCROMEBOOk,New York Knights (Group C),Eastern,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
